Name,Subcategory,Category,Type,IsSoftware,Counts
Logic Controls,Automation Engineering,Engineering,Specialized Skill,False,16
Logic Diagrams,Drafting and Engineering Design,Engineering,Specialized Skill,False,24
Logic Pro,Audio Production and Technology,Media and Communications,Specialized Skill,False,14
Logic Simulation,Circuitry,Engineering,Specialized Skill,False,1
Logic Synthesis,Electrical and Computer Engineering,Engineering,Specialized Skill,False,53
Logic Systems,Electrical and Computer Engineering,Engineering,Specialized Skill,False,13
Logical Data Models,Database Architecture and Administration,Information Technology,Specialized Skill,True,67
Logical Databases,Databases,Information Technology,Specialized Skill,True,8
Logical Disk Management,Data Storage,Information Technology,Specialized Skill,False,5
Logical Equivalence,,,Specialized Skill,False,2
Logical Observation Identifiers Names And Codes (LOINC),Medical Science and Research,Science and Research,Specialized Skill,False,1
Logical Partition,Virtualization and Virtual Machines,Information Technology,Specialized Skill,False,13
Logical Reasoning,Critical Thinking and Problem Solving,Physical and Inherent Abilities,Common Skill,False,126
Logical Security,Cybersecurity,Information Technology,Specialized Skill,False,11
Logical Systems,System Design and Implementation,Information Technology,Specialized Skill,False,13
Logical Unit Number Masking,Identity and Access Management,Information Technology,Specialized Skill,False,1
Logical Volume Manager,Data Storage,Information Technology,Specialized Skill,False,10
Logility (Software),Supply Chain Management,"Transportation, Supply Chain, and Logistics",Specialized Skill,True,12
Logistic Regression,Statistics,Analysis,Specialized Skill,False,65
Logistics,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,2175
Logistics Automation,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,14
Logistics Engineering,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,47
Logistics Management,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,1502
Logistics Planning,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,55
Logistics Strategy,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,67
Logistics Support Analysis,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,35
Logo Design,Graphic and Visual Design,Design,Specialized Skill,False,318
Logstash,"Extraction, Transformation, and Loading (ETL)",Information Technology,Specialized Skill,True,100
LonWorks,Automation Engineering,Engineering,Specialized Skill,True,56
London Interbank Offered Rate (LIBOR),Financial Analysis,Finance,Specialized Skill,False,134
Long Short-Term Memory (LSTM),Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,True,30
Long Term Acute Care,Nursing and Patient Care,Health Care,Specialized Skill,False,8
Long-Exposure Photography,Photo/Video Production and Technology,Media and Communications,Specialized Skill,False,1
Long-Only,General Lending,Finance,Specialized Skill,False,38
Long-Term Care,Nursing and Patient Care,Health Care,Specialized Skill,False,185
Longitudinal Study,General Science and Research,Science and Research,Specialized Skill,False,21
Look And Feel,User Interface and User Experience (UI/UX) Design,Design,Specialized Skill,False,376
Look Development,Creative Design,Design,Specialized Skill,False,19
Lookahead,Project Management,Business,Specialized Skill,False,33
Lookbook,Graphic and Visual Design,Design,Specialized Skill,False,63
Looker Analytics,Business Analysis,Business,Specialized Skill,True,433
Lookup Tables,Data Analysis,Analysis,Specialized Skill,True,15
Loop Electrical Excision Procedure,,,Specialized Skill,False,1
Loop Electrosurgical Excision Procedure,Surgery,Health Care,Specialized Skill,False,5
Looper,,,Specialized Skill,False,1
Loose Coupling,Computer Science,Information Technology,Specialized Skill,False,10
Loss Functions,Data Science,Analysis,Specialized Skill,False,4
Loss Given Default,Risk Management,Business,Specialized Skill,False,83
Loss Mitigation,Business Strategy,Business,Specialized Skill,False,4
Loss Prevention,Retail Sales,Sales,Specialized Skill,False,894
Loss Prevention Certified,,,Certification,False,3
Loss Ratios,Financial Accounting,Finance,Specialized Skill,False,1
Loss Reserving,Insurance,Finance,Specialized Skill,False,13
LotusScript,Scripting Languages,Information Technology,Specialized Skill,True,1
Low Carbon Development,,,Specialized Skill,False,2
Low Carbon Solutions,Air Quality and Emissions,Environment,Specialized Skill,False,20
Low Cost Country Sourcing,Procurement,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,11
Low Frequency,Radio Frequency (RF),Engineering,Specialized Skill,False,88
Low Latency,General Networking,Information Technology,Specialized Skill,False,705
Low Level Laser Therapy,Physical Therapy,Health Care,Specialized Skill,False,28
Low Level Virtual Machine (Free Compilers And Interpreters),Software Development Tools,Information Technology,Specialized Skill,True,38
Low Power Design,Electrical and Computer Engineering,Engineering,Specialized Skill,False,27
Low Pressure Hot Water,"Water Supply, Testing, and Treatment",Energy and Utilities,Specialized Skill,False,33
Low Voltage,Electrical and Computer Engineering,Engineering,Specialized Skill,False,588
Low Voltage Design,Electrical and Computer Engineering,Engineering,Specialized Skill,False,3
Low Voltage Directive (Electrical Safety),Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,85
Low Voltage Electrical Work,Electrical Power,Energy and Utilities,Specialized Skill,False,12
Low Voltage Lighting,Electrical Power,Energy and Utilities,Specialized Skill,False,1
Low-Dropout Regulator,Electronics Engineering,Engineering,Specialized Skill,False,15
Low-Noise Amplifier,Radio Frequency (RF),Engineering,Specialized Skill,False,9
Low-Voltage Differential Signaling,Electrical and Computer Engineering,Engineering,Specialized Skill,False,8
Loyalty Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,19
Loyalty Programs,Retail Sales,Sales,Specialized Skill,False,1099
Lua (Scripting Language),Scripting Languages,Information Technology,Specialized Skill,True,60
Lubrication Systems,Machinery,Manufacturing and Production,Specialized Skill,False,23
Luciferase,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,1
Luigi (Python Package),Software Development Tools,Information Technology,Specialized Skill,False,39
Lumbar Puncture,General Medical Tests and Procedures,Health Care,Specialized Skill,False,6
Lumber,Carpentry,Architecture and Construction,Specialized Skill,False,2
Lumension Security,,,Specialized Skill,True,1
Lumion (3D Rendering Software),Drafting and Engineering Design,Engineering,Specialized Skill,True,19
Lung Nodules,Pulmonology,Health Care,Specialized Skill,False,8
Lung Transplantation,Pulmonology,Health Care,Specialized Skill,False,18
Luxion KeyShot,Animation and Game Design,Design,Specialized Skill,True,32
Luxury Fashion Industry,Retail Sales,Sales,Specialized Skill,False,13
Luxury Goods,Retail Sales,Sales,Specialized Skill,False,77
Lymphadenectomy,,,Specialized Skill,False,1
Lymphatic Systems,,,Specialized Skill,False,22
Lymphedema Management,Hematology,Health Care,Specialized Skill,False,6
Lymphocyte,Hematology,Health Care,Specialized Skill,False,17
Lymphoma,Oncology,Health Care,Specialized Skill,False,4
Lynx,,,Specialized Skill,False,48
LynxOS,Operating Systems,Information Technology,Specialized Skill,True,3
Lyophilization,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,22
Lysis,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,8
M4 Carbine,Military Technology and Weapons,Public Safety and National Security,Specialized Skill,True,1
MA Class 2D Hoisting License,,,Certification,False,1
MAC Address,General Networking,Information Technology,Specialized Skill,True,12
MAMP,Web Design and Development,Information Technology,Specialized Skill,True,21
MAPICS,Plant Operations and Management,Manufacturing and Production,Specialized Skill,True,5
MARI,Graphic and Visual Design Software,Design,Specialized Skill,True,16
MATHLAB,Mathematical Software,Analysis,Specialized Skill,True,3
MATLAB,Mathematical Software,Analysis,Specialized Skill,True,1554
MAXQDA,Data Analysis,Analysis,Specialized Skill,True,4
MCollective,Systems Administration,Information Technology,Specialized Skill,True,2
MEDITECH EHR,Health Information Management and Medical Records,Health Care,Specialized Skill,False,48
MERN Stack,Web Design and Development,Information Technology,Specialized Skill,True,14
METAR,,,Specialized Skill,False,29
METRIQ (Cancer Registry),Clinical Informatics,Health Care,Specialized Skill,True,1
MFG/Pro (ERP),Business Operations,Business,Specialized Skill,True,6
MIDAS Civil,Civil and Architectural Engineering,Engineering,Specialized Skill,False,3
MIKE 21,,,Specialized Skill,True,1
MIL-STD-6011,Safety and Surveillance Technology,Public Safety and National Security,Specialized Skill,False,5
MIMIX Availability (Software),Systems Administration,Information Technology,Specialized Skill,True,6
MIPS Instruction Set,,,Specialized Skill,True,1
MIRC,,,Specialized Skill,True,2
MISRA C (C Programming Language),C and C++,Information Technology,Specialized Skill,True,105
MITRE ATT&CK Framework,Software Development Tools,Information Technology,Specialized Skill,False,94
MIVA Script,Scripting Languages,Information Technology,Specialized Skill,True,1
ML.NET,,,Specialized Skill,True,51
MLOps (Machine Learning Operations),Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,112
MLflow,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,True,26
MODFLOW,Geological Engineering,Engineering,Specialized Skill,True,6
MODO (3D Modeling Software),Graphic and Visual Design Software,Design,Specialized Skill,True,6
MODX,Content Management Systems,Information Technology,Specialized Skill,True,1
MODerate Resolution Atmospheric TRANsmission (MODTRAN),Science Software,Science and Research,Specialized Skill,False,1
MOLAP,Business Intelligence Software,Analysis,Specialized Skill,False,1
MOQ (Software),Software Quality Assurance,Information Technology,Specialized Skill,True,77
MPEG Video Wizard DVD,Photo/Video Production and Technology,Media and Communications,Specialized Skill,False,2
MPEG-2,Photo/Video Production and Technology,Media and Communications,Specialized Skill,True,15
MPICH,,,Specialized Skill,True,1
MPLAB IDE,Integrated Development Environments (IDEs),Information Technology,Specialized Skill,True,13
MPLS VPN,Network Security,Information Technology,Specialized Skill,True,44
MQX,Operating Systems,Information Technology,Specialized Skill,True,1
MRI (Property Management Software),Property Management,Property and Real Estate,Specialized Skill,True,27
MRNAs,Genetics,Science and Research,Specialized Skill,False,27
MRO Software,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,True,35
MS-DTSX,Database Architecture and Administration,Information Technology,Specialized Skill,True,1
MSBuild,IT Automation,Information Technology,Specialized Skill,True,34
MSC Software,Software Development Tools,Information Technology,Specialized Skill,True,6
MSDN-The Microsoft Developer Networks,Microsoft Development Tools,Information Technology,Specialized Skill,True,15
MSTest,Software Quality Assurance,Information Technology,Specialized Skill,True,90
MTP Level 3 (MTP3) User Adaptation Layer (M3UA),,,Specialized Skill,True,3
MVS (OS),Mainframe Technologies,Information Technology,Specialized Skill,True,24
MYOB,Accounting and Finance Software,Finance,Specialized Skill,True,11
Mac Defender,Malware Protection,Information Technology,Specialized Skill,True,3
Mac OS,Operating Systems,Information Technology,Specialized Skill,True,721
Mac OS X,Operating Systems,Information Technology,Specialized Skill,True,336
Mac/Apple Support,Technical Support and Services,Information Technology,Specialized Skill,False,77
MacPherson Strut,,,Specialized Skill,False,2
Machine Assembly,Machinery,Manufacturing and Production,Specialized Skill,False,44
Machine Code,Computer Science,Information Technology,Specialized Skill,True,10
Machine Controls,Mechanical Engineering,Engineering,Specialized Skill,False,196
Machine Guarding,Machinery,Manufacturing and Production,Specialized Skill,False,10
Machine Gun,Military Technology and Weapons,Public Safety and National Security,Specialized Skill,False,2
Machine Learning,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,5956
Machine Learning Algorithms,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,322
Machine Learning Methods,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,95
Machine Operation,Machinery,Manufacturing and Production,Specialized Skill,False,1848
Machine Press,Machinery,Manufacturing and Production,Specialized Skill,False,118
Machine Technology,Machinery,Manufacturing and Production,Specialized Skill,False,6
Machine Tending,Machinery,Manufacturing and Production,Specialized Skill,False,1
Machine Tools,Machinery,Manufacturing and Production,Specialized Skill,False,657
Machine Translation,Natural Language Processing (NLP),Analysis,Specialized Skill,False,30
Machine Vision,Image Analysis,Analysis,Specialized Skill,False,97
Machine-Generated Data,Computer Science,Information Technology,Specialized Skill,False,62
Machine-To-Machine (M2M),Internet of Things (IoT),Information Technology,Specialized Skill,False,45
Machinery,Machinery,Manufacturing and Production,Specialized Skill,False,15727
Machinery Design,Mechanical Engineering,Engineering,Specialized Skill,False,192
Machinery Installation,Machinery,Manufacturing and Production,Specialized Skill,False,236
Machinery Lubrication,Equipment Repair and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,12
Machinery Repair And Maintenance,Equipment Repair and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,599
Machining,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,3466
Machining Technology,Machinery,Manufacturing and Production,Specialized Skill,False,6
Macintosh Hardware,Computer Hardware,Information Technology,Specialized Skill,False,1
Macintosh Software,Basic Technical Knowledge,Information Technology,Specialized Skill,True,1
Macola (ERP Software),Business Operations,Business,Specialized Skill,False,2
Macro Photography,Photo/Video Production and Technology,Media and Communications,Specialized Skill,False,1
Macrocycle,,,Specialized Skill,False,2
Macroeconomics,Economics,"Economics, Policy, and Social Studies",Specialized Skill,False,102
Macromedia Flex Markup Language (MXML),Extensible Languages and XML,Information Technology,Specialized Skill,True,10
Macromolecular Docking,,,Specialized Skill,False,2
Macromolecule,Biology,Science and Research,Specialized Skill,False,10
Macrophage,Infectious Diseases,Health Care,Specialized Skill,False,14
Macular Degeneration,Eye Care,Health Care,Specialized Skill,False,29
MadCap Flare,Writing and Editing,Media and Communications,Specialized Skill,False,31
Magazine Design,Graphic and Visual Design,Design,Specialized Skill,False,10
Magento,E-Commerce,Sales,Specialized Skill,False,329
Maggot Therapy,,,Specialized Skill,False,1
Magik,,,Specialized Skill,True,1
Magnetic Flux Leakage,,,Specialized Skill,False,2
Magnetic Particle Inspections,Engineering Practices,Engineering,Specialized Skill,False,51
Magnetic Resonance Imaging,Medical Imaging,Health Care,Specialized Skill,False,1153
Magnetic Resonance Imaging (MRI) Certification,,,Certification,False,1
Magnetic Tape,Audio Production and Technology,Media and Communications,Specialized Skill,False,2
Magnetics Design,Electrical and Computer Engineering,Engineering,Specialized Skill,False,9
Magnetoencephalography,Medical Imaging,Health Care,Specialized Skill,False,2
Maid Services,Cleaning and Janitorial Services,"Maintenance, Repair, and Facility Services",Specialized Skill,False,1308
Mail Distribution,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,64
Mail Forwarding,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,6
Mail Order,General Shipping and Receiving,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,27
Mail Processing,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,32
Mail Sorting,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,244
Mailchimp,Digital Marketing,Marketing and Public Relations,Specialized Skill,False,650
Mailing List,Promotions and Campaigns,Marketing and Public Relations,Specialized Skill,False,69
Mailroom,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,240
Main Bearing,Machinery,Manufacturing and Production,Specialized Skill,False,1
Mainframe Computing,Mainframe Technologies,Information Technology,Specialized Skill,False,54
Mainframe Testing,Mainframe Technologies,Information Technology,Specialized Skill,False,2
Mains Electricity,Electrical Power,Energy and Utilities,Specialized Skill,False,177
Maintainability,Software Development,Information Technology,Specialized Skill,False,343
Maintaining Code,Software Development,Information Technology,Specialized Skill,False,50
Maintenance Connection (Software),General Repairs and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,True,1
Maintenance Coordination,General Repairs and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,106
Maintenance Engineering,Facility Management and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,8158
Maintenance Repair And Operations (MRO),General Repairs and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,187
Maintenance Scheduling,General Repairs and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,824
Maintenance Testing,Quality Assurance and Control,"Law, Regulation, and Compliance",Specialized Skill,False,168
Maintenance Therapy,Alternative Therapy,Health Care,Specialized Skill,False,3
Maintenance/Operations And Transportation,Facility Management and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,1
Major Depressive Disorder,Mental Health Diseases and Disorders,Health Care,Specialized Skill,False,3
Make (Software),IT Automation,Information Technology,Specialized Skill,False,18
Malay Language,Language Competency,Media and Communications,Specialized Skill,False,20
Malayalam Language,Language Competency,Media and Communications,Specialized Skill,False,32
Malaysian Language,,,Specialized Skill,False,16
Malicious Software Removal Tool,,,Specialized Skill,True,2
Mallets,Hand Tools,"Maintenance, Repair, and Facility Services",Specialized Skill,False,348
Malnutrition,Nutrition and Diet,Health Care,Specialized Skill,False,43
Malpractice Litigation,Litigation and Civil Justice,"Law, Regulation, and Compliance",Specialized Skill,False,3
Malware Analysis,Malware Protection,Information Technology,Specialized Skill,False,129
Malware Detection,Malware Protection,Information Technology,Specialized Skill,False,25
Malware Reverse Engineering,Malware Protection,Information Technology,Specialized Skill,False,8
Malwarebytes' Anti-Malware,Malware Protection,Information Technology,Specialized Skill,True,12
Mammalian Cell Cultures,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,121
Mammography,Medical Imaging,Health Care,Specialized Skill,False,212
Manage Executive Schedule,Business Management,Business,Specialized Skill,False,1
ManageEngine AssetExplorer,IT Management,Information Technology,Specialized Skill,False,19
Managed Accounts,Investment Management,Finance,Specialized Skill,False,102
Managed Care,Health Care Procedure and Regulation,Health Care,Specialized Skill,False,46
Managed Code,Software Development,Information Technology,Specialized Skill,False,4
Managed Extensibility Framework (.NET Framework),Software Development Tools,Information Technology,Specialized Skill,False,4
Managed Extensions For C++,C and C++,Information Technology,Specialized Skill,False,5
Managed Markets,Pharmacology and Drug Discovery,Science and Research,Specialized Skill,False,9
Managed Print Services,Business-to-Business (B2B) Sales,Sales,Specialized Skill,False,122
Managed Property,Property Management,Property and Real Estate,Specialized Skill,False,23
Managed Services,Business Operations,Business,Specialized Skill,False,2605
Management,Business Management,Business,Common Skill,False,215827
Management Accounting,Financial Management,Finance,Specialized Skill,False,7629
Management Auditing,Business Operations,Business,Specialized Skill,False,63
Management By Exception,Business Management,Business,Specialized Skill,False,77
Management Consulting,Business Consulting,Business,Specialized Skill,False,2358
Management Contract,Contract Management,Business,Specialized Skill,False,1212
Management Control,Business Management,Business,Specialized Skill,False,244
Management Control Systems,Plant Operations and Management,Manufacturing and Production,Specialized Skill,False,21
Management Effectiveness,Business Management,Business,Specialized Skill,False,9
Management Information Base,System Design and Implementation,Information Technology,Specialized Skill,False,3
Management Information Reporting,,,Specialized Skill,False,2
Management Information Systems,IT Management,Information Technology,Specialized Skill,True,2758
Management Of Cancer,Oncology,Health Care,Specialized Skill,False,122
Management Reporting,Financial Reporting,Finance,Specialized Skill,False,4447
Management Representation,Auditing,"Law, Regulation, and Compliance",Specialized Skill,False,11
Management Styles,Business Leadership,Business,Specialized Skill,False,593
Management Systems,Business Operations,Business,Specialized Skill,False,77
Management Training And Development,Employee Training,Human Resources,Specialized Skill,False,2392
Managerial Communications,Business Communications,Business,Specialized Skill,False,4
Managerial Economics,Economics,"Economics, Policy, and Social Studies",Specialized Skill,False,2
Managerial Finance,General Finance,Finance,Specialized Skill,False,8
Managerial Grid Model,,,Specialized Skill,False,3
Managerial Psychology,,,Specialized Skill,False,1
Managing Intoxication,Patient Education and Support,Health Care,Specialized Skill,False,11
Managing Large Accounts,Sales Management,Sales,Specialized Skill,False,18
Mandarin Chinese,Language Competency,Media and Communications,Common Skill,False,807
Manga,Literature and Literary Studies,Media and Communications,Specialized Skill,False,5
Manicure,Beauty and Body Treatments and Alterations,Personal Care and Services,Specialized Skill,False,247
Manifold,Machinery,Manufacturing and Production,Specialized Skill,False,52
Manual Data Entry,Administrative Support and Clerical Tasks,Administration,Specialized Skill,False,25
Manual Handling,Material Handling,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,8279
Manual Lymphatic Drainage,Physical Therapy,Health Care,Specialized Skill,False,15
Manual Metal Arc Welding,,,Specialized Skill,False,6
Manual Testing,Quality Assurance and Control,"Law, Regulation, and Compliance",Specialized Skill,False,609
Manual Therapy,Physical Therapy,Health Care,Specialized Skill,False,50
Manufacturing Automation,Automation Engineering,Engineering,Specialized Skill,False,91
Manufacturing Engineering,"Engineering, Other",Engineering,Specialized Skill,False,2201
Manufacturing Execution System (MES),Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,156
Manufacturing Operations,Plant Operations and Management,Manufacturing and Production,Specialized Skill,False,1424
Manufacturing Operations Management,Plant Operations and Management,Manufacturing and Production,Specialized Skill,False,11
Manufacturing Process Management,Plant Operations and Management,Manufacturing and Production,Specialized Skill,False,2
Manufacturing Processes,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,3826
Manufacturing Resource Planning,Business Operations,Business,Specialized Skill,False,44
Manufacturing Systems Engineering,"Engineering, Other",Engineering,Specialized Skill,False,8
Manugistics,Supply Chain Management,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,4
Manure Spreaders,Agriculture and Crop Farming,"Agriculture, Horticulture, and Landscaping",Specialized Skill,False,1
Manuscript Collections,Library and Archiving,Education and Training,Specialized Skill,False,6
Map Production,Surveying and Cartography,Engineering,Specialized Skill,False,39
Map Reading,Transportation Operations,"Transportation, Supply Chain, and Logistics",Common Skill,False,109
MapInfo Professional,Geospatial Information and Technology,Information Technology,Specialized Skill,False,77
MapR (Big Data),Data Science,Analysis,Specialized Skill,True,17
MapReduce,Data Science,Analysis,Specialized Skill,True,110
Mapbox,Geospatial Information and Technology,Information Technology,Specialized Skill,False,22
Mapkit,Geospatial Information and Technology,Information Technology,Specialized Skill,True,3
Maple (Software),Mathematical Software,Analysis,Specialized Skill,True,8
Mapping Software,Geospatial Information and Technology,Information Technology,Specialized Skill,True,49
Mapserver,Geospatial Information and Technology,Information Technology,Specialized Skill,True,3
Marathi (Language),Language Competency,Media and Communications,Specialized Skill,False,25
MariaDB,Databases,Information Technology,Specialized Skill,True,222
Mariculture,Aquaculture,"Agriculture, Horticulture, and Landscaping",Specialized Skill,False,1
MarinOne (Software),Online Advertising,Marketing and Public Relations,Specialized Skill,True,5
Marination,Food and Beverage,Hospitality and Food Services,Specialized Skill,False,43
Marine Biology,Biology,Science and Research,Specialized Skill,False,30
Marine Conservation,Conservation,Environment,Specialized Skill,False,22
Marine Ecology,Ecology,Environment,Specialized Skill,False,33
Marine Engineering,Marine and Naval Engineering,Engineering,Specialized Skill,False,229
Marine Geology,Earth and Space Science,Science and Research,Specialized Skill,False,4
Marine Geophysics,,,Specialized Skill,False,2
Marine Habitats,Ecology,Environment,Specialized Skill,False,10
Marine Insurance,Insurance,Finance,Specialized Skill,False,33
Marine Invertebrate Zoology,Biology,Science and Research,Specialized Skill,False,3
Marine Mammals,Biology,Science and Research,Specialized Skill,False,21
Marine Navigation,Marine and Naval Engineering,Engineering,Specialized Skill,False,10
Marine Propulsion,Marine and Naval Engineering,Engineering,Specialized Skill,False,10
Marine Radar,,,Specialized Skill,False,1
Marine Science,General Science and Research,Science and Research,Specialized Skill,False,51
Marine Underwriting,Underwriting,Finance,Specialized Skill,False,5
Marionette.js,JavaScript and jQuery,Information Technology,Specialized Skill,False,6
Maritime Logistics,Sea and Waterway Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,2
Maritime Security,Transportation Security,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,36
Markdown,Retail Sales,Sales,Specialized Skill,True,175
Market Access Strategy,Market Analysis,Marketing and Public Relations,Specialized Skill,False,139
Market Analysis,Market Analysis,Marketing and Public Relations,Specialized Skill,False,984
Market Area,Market Analysis,Marketing and Public Relations,Specialized Skill,False,1
Market Data,Market Analysis,Marketing and Public Relations,Specialized Skill,False,508
Market Development,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,400
Market Dynamics,Market Analysis,Marketing and Public Relations,Specialized Skill,False,373
Market Environment,Economics,"Economics, Policy, and Social Studies",Specialized Skill,False,379
Market Exposure,Risk Management,Business,Specialized Skill,False,27
Market Garden,Agricultural Management and Operations,"Agriculture, Horticulture, and Landscaping",Specialized Skill,False,12
Market Identification,Market Analysis,Marketing and Public Relations,Specialized Skill,False,2
Market Intelligence,Market Analysis,Marketing and Public Relations,Specialized Skill,False,1178
Market Liquidity,Financial Trading,Finance,Specialized Skill,False,1185
Market Maker,Financial Trading,Finance,Specialized Skill,False,194
Market Neutral,Investment Management,Finance,Specialized Skill,False,5
Market Opportunities,Business Strategy,Business,Specialized Skill,False,745
Market Penetration,Market Analysis,Marketing and Public Relations,Specialized Skill,False,157
Market Potential,Sales Analysis,Sales,Specialized Skill,False,100
Market Pricing,Pricing Analysis,Business,Specialized Skill,False,112
Market Profile,Financial Trading,Finance,Specialized Skill,False,39
Market Requirements Documents,Product Development,Manufacturing and Production,Specialized Skill,False,530
Market Research,Market Analysis,Marketing and Public Relations,Specialized Skill,False,4078
Market Risk,Risk Management,Business,Specialized Skill,False,798
Market Segmentation,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,481
Market Share,Sales Management,Sales,Specialized Skill,False,1646
Market Share Analysis,Market Analysis,Marketing and Public Relations,Specialized Skill,False,7
Market Size,Market Analysis,Marketing and Public Relations,Specialized Skill,False,158
Market Structure,Economics,"Economics, Policy, and Social Studies",Specialized Skill,False,70
Market Timing,Financial Analysis,Finance,Specialized Skill,False,10
Market Trend,Market Analysis,Marketing and Public Relations,Specialized Skill,False,3391
Market Value,General Finance,Finance,Specialized Skill,False,87
Market Value Added,,,Specialized Skill,False,1
MarketAxess,,,Specialized Skill,False,17
Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,61846
Marketing Analysis,Business Intelligence,Analysis,Specialized Skill,False,70
Marketing Analytics,Business Intelligence,Analysis,Specialized Skill,False,390
Marketing Automation,Digital Marketing,Marketing and Public Relations,Specialized Skill,False,1090
Marketing Brochures,Promotions and Campaigns,Marketing and Public Relations,Specialized Skill,False,42
Marketing Budgets,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,817
Marketing Calendar,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,200
Marketing Channel,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,1045
Marketing Co-Operations,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,89
Marketing Collateral,Promotions and Campaigns,Marketing and Public Relations,Specialized Skill,False,1272
Marketing Communications,Communication,Media and Communications,Specialized Skill,False,3583
Marketing Communications Planning Framework,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,3
Marketing Concepts,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,64
Marketing Copy,Content Development and Management,Media and Communications,Specialized Skill,False,167
Marketing Effectiveness,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,150
Marketing Information Systems,Business Intelligence Software,Analysis,Specialized Skill,False,3
Marketing Intelligence,Business Intelligence,Analysis,Specialized Skill,False,52
Marketing Management,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,5304
Marketing Materials,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,2811
Marketing Mix,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,780
Marketing Mix Modeling,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,31
Marketing Operations,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,650
Marketing Operations Management,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,5
Marketing Optimization,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,4
Marketing Performance Measurement And Management,Business Strategy,Business,Specialized Skill,False,423
Marketing Planning,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,1356
Marketing Research,Supply Chain Management,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,413
Marketing Resource Management,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,2
